player_id,player_name,player_job,player_god,kills,deaths,blessings,kd_ratio,score,last_position,last_battle_time,last_updated
258,秋日的思绪,法师,比湿奴,1,0,0,1,3.0,"453,484",2025-03-22 10:13:30,2025-03-22 18:34:12
36,灬聖域乂随风灬,金刚,梵天,1,0,0,1,3.0,"431,528",2025-03-22 09:54:22,2025-03-22 18:34:12
994,l局长的大奶l,,梵天,1,0,0,1,3.0,"444,483",2025-03-22 10:13:24,2025-03-22 18:34:14
4,伊人问花语,魔咒法师,比湿奴,1,0,0,1,3.0,"492,432",2025-03-22 10:04:19,2025-03-22 18:34:12
1084,眩晕伱の小可爱,,比湿奴,1,0,0,1,3.0,"456,477",2025-03-22 10:13:24,2025-03-22 18:34:16
28,Angel丶黛薰,暗夜侠,比湿奴,1,0,0,1,3.0,"433,503",2025-03-22 09:56:40,2025-03-22 18:34:12
28,Angel丶黛薰,暗夜侠,比湿奴,1,0,0,1,3.0,"456,482",2025-03-22 10:13:05,2025-03-22 18:34:12
36,灬聖域乂随风灬,金刚,梵天,1,0,0,1,3.0,"488,434",2025-03-22 10:03:17,2025-03-22 18:34:12
1039,ぐ狂γ飙べ,,比湿奴,1,0,0,1,3.0,"447,480",2025-03-22 10:12:44,2025-03-22 18:34:14
1039,ぐ狂γ飙べ,,比湿奴,1,0,0,1,3.0,"442,539",2025-03-22 09:53:28,2025-03-22 18:34:14
1039,ぐ狂γ飙べ,,比湿奴,1,0,0,1,3.0,"451,479",2025-03-22 10:12:32,2025-03-22 18:34:14
1089,梵※高,金刚,梵天,1,0,0,1,3.0,"487,429",2025-03-22 10:03:12,2025-03-22 18:34:16
4,伊人问花语,魔咒法师,比湿奴,1,0,0,1,3.0,"457,469",2025-03-22 10:12:26,2025-03-22 18:34:12
1084,眩晕伱の小可爱,,比湿奴,1,0,0,1,3.0,"435,499",2025-03-22 09:56:30,2025-03-22 18:34:16
36,灬聖域乂随风灬,金刚,梵天,1,0,0,1,3.0,"456,479",2025-03-22 10:12:03,2025-03-22 18:34:12
1039,ぐ狂γ飙べ,,比湿奴,1,0,0,1,3.0,"490,431",2025-03-22 10:02:51,2025-03-22 18:34:14
28,Angel丶黛薰,暗夜侠,比湿奴,1,0,0,1,3.0,"457,477",2025-03-22 10:11:57,2025-03-22 18:34:12
1089,梵※高,金刚,梵天,1,0,0,1,3.0,"440,522",2025-03-22 09:54:17,2025-03-22 18:34:16
36,灬聖域乂随风灬,金刚,梵天,1,0,0,1,3.0,"464,464",2025-03-22 10:11:39,2025-03-22 18:34:12
